'James', 'E', 'Jordan', '888665151', '10-NOV-1927', '450 Stone,Houston,TX', 'M', 55000, null, 1
'Frank', 'T', 'Wong', '333445555', '08-DEC-1945', '638 Voss,Houston,TX', 'M', 40000, '888665555', 5
'Jennifer', 'S', 'Wallace', '987654321', '20-JUN-1931', '291 Berry,Bellaire,TX', 'F', 43000, '888665555', 4
'Jared', 'D', 'James', '111111100', '10-OCT-1966', '123 Peachtr,Atlanta,GA', 'M', 85000, null, 6
'Alex', 'D', 'Freed', '444444400', '09-OCT-1950', '4333 Pillsbury,Milwaukee,WI', 'M', 89000, null, 7
'John', 'C', 'James', '555555500', '30-JUN-1975', '766 Bloomington,Sacramento,CA', 'M', 81000, null, 8
'John', 'B', 'Smith', '123456789', '09-Jan-1955', '731 Fondren,Houston,TX', 'M', 30000, '333445555', 5
'Alicia', 'J', 'Zelaya', '999887777', '19-JUL-1958', '3321 Castle,Spring,TX', 'F', 25000, '987654321', 4
'Ramesh', 'K', 'Narayan', '666884444', '15-SEP-1952', '971 Fire Oak,Humble,TX', 'M', 38000, '333445555', 5
'Joyce', 'A', 'English', '453453453', '31-JUL-1962', '5631 Rice Oak,Houston,TX', 'F', 25000, '333445555', 5
'Ahmad', 'V', 'Jabbar', '987987987', '29-MAR-1959', '980 Dallas,Houston,TX', 'M', 25000, '987654321', 4
'Jon', 'C', 'Jones', '111111101', '14-NOV-1967', '111 Allgood,Atlanta,GA', 'M', 45000, '111111100', 6
'Justin', null, 'Mark', '111111102', '12-JAN-1966', '2342 May,Atlanta,GA', 'M', 40000, '111111100', 6
'Brad', 'C', 'Knight', '111111103', '13-FEB-1968', '176 Main St.,Atlanta,GA', 'M', 44000, '111111100', 6
'Evan', 'E', 'Wallis', '222222200', '16-JAN-1958', '134 Pelham,Milwaukee,WI', 'M', 92000, null, 7
'Josh', 'U', 'Zell', '222222201', '22-MAY-1954', '266 McGrady,Milwaukee,WI', 'M', 56000, '222222200', 7
'Andy', 'C', 'Vile', '222222202', '21-JUN-1944', '1967 Jordan,Milwaukee,WI', 'M', 53000, '222222200', 7
'Tom', 'G', 'Brand', '222222203', '16-DEC-1966', '112 Third St,Milwaukee,WI', 'M', 62500, '222222200', 7
'Jenny', 'F', 'Vos', '222222204', '11-NOV-1967', '263 Mayberry,Milwaukee,WI', 'F', 61000, '222222201', 7
'Chris', 'A', 'Carter', '222222205', '21-MAR-1960', '565 Jordan,Milwaukee,WI', 'F', 43000, '222222201', 7
'Kim', 'C', 'Grace', '333333300', '23-OCT-1970', '667 Mills Ave,Sacramento,CA', 'F', 79000, null, 6
